atm_id,city_state_zip.city,city_state_zip.state,city_state_zip.zip,pos_capability,offsite_or_onsite,bank
22667,Richwoods,MO,63071,swipe,onsite,jpmc
22668,Potsdam,NY,13676,chip,onsite,jpmc
22669,South Grafton,MA,1560,swipe,onsite,wellsfargo
22670,Washington,DC,20420,swipe,onsite,jpmc
22671,Los Angeles,CA,90017,swipe,onsite,jpmc
22672,Walls,MS,38680,chip,onsite,hsbc
22673,Durango,CO,81303,chip,onsite,jpmc
22674,Memphis,TN,38113,chip,onsite,jpmc
22675,Townsend,WI,54175,chip,onsite,jpmc
22676,Manitou,OK,73555,chip,onsite,jpmc
22677,Bradford,RI,2808,chip,onsite,jpmc
22678,Springfield,IL,62761,chip,onsite,jpmc
22679,Middleton,ID,83644,chip,offsite,jpmc
22680,Perham,MN,56573,chip,onsite,jpmc
22681,Cincinnati,OH,45270,swipe,onsite,jpmc
22682,Dayton,OH,45401,chip,onsite,jpmc
22683,Jewett,TX,75846,chip,onsite,jpmc
22684,Morganville,NJ,7751,chip,onsite,jpmc
22685,South Pasadena,CA,91031,swipe,onsite,bank_of_america
22686,Eastlake,OH,44097,chip,onsite,jpmc
22687,Ruth,MS,39662,chip,onsite,jpmc
22688,Fort Smith,AR,72908,chip,offsite,jpmc
22689,Freeman,VA,23856,chip,offsite,jpmc
22690,Hester,LA,70743,chip,onsite,jpmc
22691,Maple,WI,54854,chip,onsite,jpmc
22692,Roanoke,VA,24003,swipe,onsite,jpmc
22693,Newport News,VA,23608,chip,onsite,jpmc
22694,War,WV,24892,chip,onsite,jpmc
22695,White Sulphur Springs,WV,24986,chip,onsite,jpmc
22696,Gilsum,NH,3448,swipe,onsite,jpmc
22697,Swan River,MN,55784,chip,onsite,jpmc
22698,Maryneal,TX,79535,chip,onsite,jpmc
22699,Broad Brook,CT,6016,swipe,onsite,jpmc
22700,Roanoke,VA,24017,chip,onsite,jpmc
22701,Harriet,AR,72639,chip,onsite,jpmc
22702,Trion,GA,30753,swipe,onsite,jpmc
